pid,col_id,college,travel_time,compare_val
311868,1,Bates Technical College,2.67,FALSE
311868,4,Centralia College,3.03,FALSE
321979,28,Yakima Valley College,0.08,TRUE
321979,20,Seattle Central College,2.41,FALSE
321979,1,Bates Technical College,2.67,FALSE
321979,4,Centralia College,3.03,FALSE
416930,28,Yakima Valley College,0.08,TRUE
416930,20,Seattle Central College,2.34,FALSE
416930,1,Bates Technical College,2.6,FALSE
416930,4,Centralia College,2.93,FALSE
600933,28,Yakima Valley College,0.08,TRUE
600933,20,Seattle Central College,2.34,FALSE
600933,1,Bates Technical College,2.6,FALSE
600933,4,Centralia College,2.93,FALSE
879223,28,Yakima Valley College,0.08,TRUE
879223,20,Seattle Central College,2.42,FALSE
879223,1,Bates Technical College,2.68,FALSE
879223,4,Centralia College,3.03,FALSE
2972,1,Bates Technical College,0.09,TRUE
2972,20,Seattle Central College,0.71,FALSE
2972,4,Centralia College,0.96,FALSE
2972,28,Yakima Valley College,2.62,FALSE
297864,1,Bates Technical College,0.09,TRUE
297864,20,Seattle Central College,0.71,FALSE
297864,4,Centralia College,0.96,FALSE
297864,28,Yakima Valley College,2.62,FALSE
580920,1,Bates Technical College,0.09,TRUE
580920,20,Seattle Central College,0.66,FALSE
580920,4,Centralia College,0.92,FALSE
580920,28,Yakima Valley College,2.57,FALSE
1024297,1,Bates Technical College,0.09,TRUE
1024297,20,Seattle Central College,0.62,FALSE
1024297,4,Centralia College,0.93,FALSE
1024297,28,Yakima Valley College,2.53,FALSE
926388,4,Centralia College,0.09,TRUE
926388,1,Bates Technical College,1.02,FALSE
926388,20,Seattle Central College,1.5,FALSE
926388,28,Yakima Valley College,3,FALSE
7487,20,Seattle Central College,0.09,TRUE
7487,1,Bates Technical College,0.75,FALSE
7487,4,Centralia College,1.54,FALSE
7487,28,Yakima Valley College,2.43,FALSE
520923,20,Seattle Central College,0.09,TRUE
520923,1,Bates Technical College,0.63,FALSE
520923,4,Centralia College,1.42,FALSE
520923,28,Yakima Valley College,2.3,FALSE
706772,20,Seattle Central College,0.09,TRUE
706772,1,Bates Technical College,0.74,FALSE
706772,4,Centralia College,1.53,FALSE
706772,28,Yakima Valley College,2.39,FALSE
962286,20,Seattle Central College,0.09,TRUE
962286,1,Bates Technical College,0.74,FALSE
962286,4,Centralia College,1.56,FALSE
962286,28,Yakima Valley College,2.39,FALSE
239208,28,Yakima Valley College,0.09,TRUE
239208,20,Seattle Central College,2.33,FALSE
239208,1,Bates Technical College,2.59,FALSE
239208,4,Centralia College,2.91,FALSE
255773,28,Yakima Valley College,0.09,TRUE
255773,20,Seattle Central College,2.43,FALSE
255773,1,Bates Technical College,2.69,FALSE
255773,4,Centralia College,3.05,FALSE
307400,28,Yakima Valley College,0.09,TRUE
307400,20,Seattle Central College,2.41,FALSE
307400,1,Bates Technical College,2.68,FALSE
307400,4,Centralia College,2.99,FALSE
317370,28,Yakima Valley College,0.09,TRUE
317370,20,Seattle Central College,2.42,FALSE
317370,1,Bates Technical College,2.68,FALSE
317370,4,Centralia College,3.04,FALSE
748942,28,Yakima Valley College,0.09,TRUE
748942,20,Seattle Central College,2.34,FALSE
748942,1,Bates Technical College,2.6,FALSE
748942,4,Centralia College,2.92,FALSE
1015211,28,Yakima Valley College,0.09,TRUE
1015211,20,Seattle Central College,2.42,FALSE
1015211,1,Bates Technical College,2.68,FALSE
1015211,4,Centralia College,3.04,FALSE
3004,28,Yakima Valley College,0.09,TRUE
3004,20,Seattle Central College,2.31,FALSE
3004,1,Bates Technical College,2.57,FALSE
3004,4,Centralia College,2.93,FALSE
62388,1,Bates Technical College,0.1,TRUE
62388,20,Seattle Central College,0.68,FALSE
62388,4,Centralia College,0.93,FALSE
62388,28,Yakima Valley College,2.59,FALSE
239646,1,Bates Technical College,0.1,TRUE
239646,20,Seattle Central College,0.71,FALSE
239646,4,Centralia College,0.98,FALSE
239646,28,Yakima Valley College,2.61,FALSE
303772,1,Bates Technical College,0.1,TRUE
303772,20,Seattle Central College,0.65,FALSE
303772,4,Centralia College,0.9,FALSE
303772,28,Yakima Valley College,2.55,FALSE
891252,1,Bates Technical College,0.1,TRUE
891252,20,Seattle Central College,0.68,FALSE
891252,4,Centralia College,0.95,FALSE
891252,28,Yakima Valley College,2.59,FALSE
399990,20,Seattle Central College,0.1,TRUE
399990,1,Bates Technical College,0.73,FALSE
399990,4,Centralia College,1.52,FALSE
399990,28,Yakima Valley College,2.38,FALSE
476019,20,Seattle Central College,0.1,TRUE
476019,1,Bates Technical College,0.68,FALSE
476019,4,Centralia College,1.47,FALSE
476019,28,Yakima Valley College,2.35,FALSE
1121199,20,Seattle Central College,0.1,TRUE
1121199,1,Bates Technical College,0.64,FALSE
1121199,4,Centralia College,1.43,FALSE
1121199,28,Yakima Valley College,2.32,FALSE
1151,28,Yakima Valley College,0.1,TRUE
1151,20,Seattle Central College,2.31,FALSE
1151,1,Bates Technical College,2.57,FALSE
1151,4,Centralia College,2.93,FALSE
3107,28,Yakima Valley College,0.1,TRUE
3107,20,Seattle Central College,2.44,FALSE
3107,1,Bates Technical College,2.7,FALSE
3107,4,Centralia College,3.05,FALSE
96260,28,Yakima Valley College,0.1,TRUE
96260,20,Seattle Central College,2.42,FALSE
96260,1,Bates Technical College,2.68,FALSE
96260,4,Centralia College,3.04,FALSE
167674,28,Yakima Valley College,0.1,TRUE
167674,20,Seattle Central College,2.42,FALSE
167674,1,Bates Technical College,2.68,FALSE
167674,4,Centralia College,3.04,FALSE
177287,28,Yakima Valley College,0.1,TRUE
177287,20,Seattle Central College,2.3,FALSE
177287,1,Bates Technical College,2.57,FALSE
177287,4,Centralia College,2.92,FALSE
198462,28,Yakima Valley College,0.1,TRUE
198462,20,Seattle Central College,2.31,FALSE
198462,1,Bates Technical College,2.58,FALSE
198462,4,Centralia College,2.93,FALSE
214844,28,Yakima Valley College,0.1,TRUE
214844,20,Seattle Central College,2.42,FALSE
214844,1,Bates Technical College,2.69,FALSE
214844,4,Centralia College,3.04,FALSE
260055,28,Yakima Valley College,0.1,TRUE
260055,20,Seattle Central College,2.37,FALSE
260055,1,Bates Technical College,2.63,FALSE
260055,4,Centralia College,2.92,FALSE
262589,28,Yakima Valley College,0.1,TRUE
262589,20,Seattle Central College,2.31,FALSE
262589,1,Bates Technical College,2.57,FALSE
262589,4,Centralia College,2.93,FALSE
281922,28,Yakima Valley College,0.1,TRUE
281922,20,Seattle Central College,2.36,FALSE
281922,1,Bates Technical College,2.62,FALSE
281922,4,Centralia College,2.97,FALSE
303679,28,Yakima Valley College,0.1,TRUE
303679,20,Seattle Central College,2.44,FALSE
303679,1,Bates Technical College,2.7,FALSE
303679,4,Centralia College,3.03,FALSE
307976,28,Yakima Valley College,0.1,TRUE
307976,20,Seattle Central College,2.35,FALSE
307976,1,Bates Technical College,2.61,FALSE
307976,4,Centralia College,2.96,FALSE
471086,28,Yakima Valley College,0.1,TRUE
471086,20,Seattle Central College,2.44,FALSE
471086,1,Bates Technical College,2.7,FALSE
471086,4,Centralia College,3.04,FALSE
817256,28,Yakima Valley College,0.1,TRUE
817256,20,Seattle Central College,2.44,FALSE
817256,1,Bates Technical College,2.71,FALSE
817256,4,Centralia College,3.05,FALSE
171286,1,Bates Technical College,0.11,TRUE
171286,20,Seattle Central College,0.68,FALSE
171286,4,Centralia College,0.93,FALSE
171286,28,Yakima Valley College,2.59,FALSE
281215,1,Bates Technical College,0.11,TRUE
281215,20,Seattle Central College,0.66,FALSE
281215,4,Centralia College,0.91,FALSE
281215,28,Yakima Valley College,2.56,FALSE
609059,1,Bates Technical College,0.11,TRUE
609059,20,Seattle Central College,0.69,FALSE
609059,4,Centralia College,0.94,FALSE
609059,28,Yakima Valley College,2.6,FALSE
942206,1,Bates Technical College,0.11,TRUE
942206,20,Seattle Central College,0.62,FALSE
942206,4,Centralia College,0.92,FALSE
942206,28,Yakima Valley College,2.53,FALSE
114301,4,Centralia College,0.11,TRUE
114301,1,Bates Technical College,0.97,FALSE
114301,20,Seattle Central College,1.45,FALSE
114301,28,Yakima Valley College,2.91,FALSE
1128274,4,Centralia College,0.11,TRUE
1128274,1,Bates Technical College,1,FALSE
1128274,20,Seattle Central College,1.49,FALSE
1128274,28,Yakima Valley College,2.97,FALSE
272871,20,Seattle Central College,0.11,TRUE
272871,1,Bates Technical College,0.7,FALSE
272871,4,Centralia College,1.49,FALSE
272871,28,Yakima Valley College,2.38,FALSE
526962,20,Seattle Central College,0.11,TRUE
526962,1,Bates Technical College,0.62,FALSE
526962,4,Centralia College,1.41,FALSE
526962,28,Yakima Valley College,2.29,FALSE
1147,28,Yakima Valley College,0.11,TRUE
1147,20,Seattle Central College,2.35,FALSE
1147,1,Bates Technical College,2.61,FALSE
1147,4,Centralia College,2.97,FALSE
31704,28,Yakima Valley College,0.11,TRUE
31704,20,Seattle Central College,2.44,FALSE
31704,1,Bates Technical College,2.71,FALSE
31704,4,Centralia College,3.04,FALSE
53834,28,Yakima Valley College,0.11,TRUE
53834,20,Seattle Central College,2.45,FALSE
53834,1,Bates Technical College,2.71,FALSE
53834,4,Centralia College,3.03,FALSE
198537,28,Yakima Valley College,0.11,TRUE
198537,20,Seattle Central College,2.32,FALSE
198537,1,Bates Technical College,2.58,FALSE
198537,4,Centralia College,2.9,FALSE
261317,28,Yakima Valley College,0.11,TRUE
261317,20,Seattle Central College,2.35,FALSE
261317,1,Bates Technical College,2.61,FALSE
261317,4,Centralia College,2.91,FALSE
323156,28,Yakima Valley College,0.11,TRUE
323156,20,Seattle Central College,2.37,FALSE
323156,1,Bates Technical College,2.63,FALSE
323156,4,Centralia College,2.99,FALSE
594967,28,Yakima Valley College,0.11,TRUE
594967,20,Seattle Central College,2.35,FALSE
594967,1,Bates Technical College,2.62,FALSE
594967,4,Centralia College,2.91,FALSE
611954,28,Yakima Valley College,0.11,TRUE
611954,20,Seattle Central College,2.33,FALSE
611954,1,Bates Technical College,2.6,FALSE
611954,4,Centralia College,2.88,FALSE
710762,28,Yakima Valley College,0.11,TRUE
710762,20,Seattle Central College,2.31,FALSE
710762,1,Bates Technical College,2.57,FALSE
710762,4,Centralia College,2.93,FALSE
852241,28,Yakima Valley College,0.11,TRUE
852241,20,Seattle Central College,2.34,FALSE
852241,1,Bates Technical College,2.6,FALSE
852241,4,Centralia College,2.96,FALSE
967215,28,Yakima Valley College,0.11,TRUE
967215,20,Seattle Central College,2.38,FALSE
967215,1,Bates Technical College,2.64,FALSE
967215,4,Centralia College,3,FALSE
1037222,28,Yakima Valley College,0.11,TRUE
1037222,20,Seattle Central College,2.45,FALSE
1037222,1,Bates Technical College,2.71,FALSE
1037222,4,Centralia College,3.02,FALSE
1747,1,Bates Technical College,0.12,TRUE
1747,20,Seattle Central College,0.71,FALSE
1747,4,Centralia College,0.96,FALSE
1747,28,Yakima Valley College,2.61,FALSE
72924,1,Bates Technical College,0.12,TRUE
72924,20,Seattle Central College,0.73,FALSE
72924,4,Centralia College,0.99,FALSE
72924,28,Yakima Valley College,2.63,FALSE
128853,1,Bates Technical College,0.12,TRUE
128853,20,Seattle Central College,0.72,FALSE
128853,4,Centralia College,1.02,FALSE
128853,28,Yakima Valley College,2.62,FALSE
676996,1,Bates Technical College,0.12,TRUE
676996,20,Seattle Central College,0.72,FALSE
676996,4,Centralia College,1.02,FALSE
676996,28,Yakima Valley College,2.62,FALSE
770145,1,Bates Technical College,0.12,TRUE
770145,20,Seattle Central College,0.65,FALSE
770145,4,Centralia College,0.9,FALSE
770145,28,Yakima Valley College,2.56,FALSE
41830,4,Centralia College,0.12,TRUE
41830,1,Bates Technical College,0.96,FALSE
41830,20,Seattle Central College,1.45,FALSE
41830,28,Yakima Valley College,2.98,FALSE
1126208,4,Centralia College,0.12,TRUE
1126208,1,Bates Technical College,0.94,FALSE
1126208,20,Seattle Central College,1.43,FALSE
1126208,28,Yakima Valley College,2.96,FALSE
129633,20,Seattle Central College,0.12,TRUE
129633,1,Bates Technical College,0.65,FALSE
129633,4,Centralia College,1.44,FALSE
129633,28,Yakima Valley College,2.32,FALSE
130680,20,Seattle Central College,0.12,TRUE
130680,1,Bates Technical College,0.66,FALSE
130680,4,Centralia College,1.45,FALSE
130680,28,Yakima Valley College,2.33,FALSE
135654,20,Seattle Central College,0.12,TRUE
135654,1,Bates Technical College,0.66,FALSE
135654,4,Centralia College,1.46,FALSE
135654,28,Yakima Valley College,2.33,FALSE
285598,20,Seattle Central College,0.12,TRUE
285598,1,Bates Technical College,0.72,FALSE
285598,4,Centralia College,1.51,FALSE
285598,28,Yakima Valley College,2.38,FALSE
532965,20,Seattle Central College,0.12,TRUE
532965,1,Bates Technical College,0.69,FALSE
532965,4,Centralia College,1.48,FALSE
532965,28,Yakima Valley College,2.37,FALSE
1089197,20,Seattle Central College,0.12,TRUE
1089197,1,Bates Technical College,0.64,FALSE
1089197,4,Centralia College,1.43,FALSE
1089197,28,Yakima Valley College,2.31,FALSE
6212,28,Yakima Valley College,0.12,TRUE
6212,20,Seattle Central College,2.46,FALSE
6212,1,Bates Technical College,2.72,FALSE
6212,4,Centralia College,3.05,FALSE
123542,28,Yakima Valley College,0.12,TRUE
123542,20,Seattle Central College,2.44,FALSE
123542,1,Bates Technical College,2.71,FALSE
123542,4,Centralia College,3.02,FALSE
272432,28,Yakima Valley College,0.12,TRUE
272432,20,Seattle Central College,2.36,FALSE
272432,1,Bates Technical College,2.62,FALSE
272432,4,Centralia College,2.98,FALSE
273784,28,Yakima Valley College,0.12,TRUE
273784,20,Seattle Central College,2.44,FALSE
273784,1,Bates Technical College,2.7,FALSE
273784,4,Centralia College,3.02,FALSE
286427,28,Yakima Valley College,0.12,TRUE
286427,20,Seattle Central College,2.39,FALSE
286427,1,Bates Technical College,2.65,FALSE
286427,4,Centralia College,2.92,FALSE
305295,28,Yakima Valley College,0.12,TRUE
305295,20,Seattle Central College,2.34,FALSE
305295,1,Bates Technical College,2.61,FALSE
305295,4,Centralia College,2.96,FALSE
305659,28,Yakima Valley College,0.12,TRUE
305659,20,Seattle Central College,2.44,FALSE
305659,1,Bates Technical College,2.7,FALSE
305659,4,Centralia College,3.02,FALSE
311493,28,Yakima Valley College,0.12,TRUE
311493,20,Seattle Central College,2.43,FALSE
311493,1,Bates Technical College,2.69,FALSE
311493,4,Centralia College,2.99,FALSE
324262,28,Yakima Valley College,0.12,TRUE
324262,20,Seattle Central College,2.36,FALSE
324262,1,Bates Technical College,2.62,FALSE
324262,4,Centralia College,2.9,FALSE
331345,28,Yakima Valley College,0.12,TRUE
331345,20,Seattle Central College,2.42,FALSE
331345,1,Bates Technical College,2.68,FALSE
331345,4,Centralia College,3.04,FALSE
581040,28,Yakima Valley College,0.12,TRUE
581040,20,Seattle Central College,2.37,FALSE
581040,1,Bates Technical College,2.63,FALSE
581040,4,Centralia College,2.91,FALSE
623943,28,Yakima Valley College,0.12,TRUE
623943,20,Seattle Central College,2.43,FALSE
623943,1,Bates Technical College,2.69,FALSE
623943,4,Centralia College,3.01,FALSE
1757,1,Bates Technical College,0.13,TRUE
1757,20,Seattle Central College,0.66,FALSE
1757,4,Centralia College,0.91,FALSE
1757,28,Yakima Valley College,2.57,FALSE
2577,1,Bates Technical College,0.13,TRUE
2577,20,Seattle Central College,0.63,FALSE
2577,4,Centralia College,0.94,FALSE
2577,28,Yakima Valley College,2.54,FALSE
2494,1,Bates Technical College,0.13,TRUE
2494,20,Seattle Central College,0.63,FALSE
2494,4,Centralia College,0.94,FALSE
2494,28,Yakima Valley College,2.54,FALSE
136915,1,Bates Technical College,0.13,TRUE
136915,20,Seattle Central College,0.7,FALSE
136915,4,Centralia College,0.95,FALSE
136915,28,Yakima Valley College,2.61,FALSE
140402,1,Bates Technical College,0.13,TRUE
140402,20,Seattle Central College,0.66,FALSE
140402,4,Centralia College,0.92,FALSE
140402,28,Yakima Valley College,2.57,FALSE
250739,1,Bates Technical College,0.13,TRUE
250739,20,Seattle Central College,0.71,FALSE
250739,4,Centralia College,1.02,FALSE
250739,28,Yakima Valley College,2.62,FALSE
306546,1,Bates Technical College,0.13,TRUE
306546,20,Seattle Central College,0.66,FALSE
306546,4,Centralia College,0.91,FALSE
306546,28,Yakima Valley College,2.57,FALSE
329392,1,Bates Technical College,0.13,TRUE
329392,20,Seattle Central College,0.67,FALSE
329392,4,Centralia College,0.93,FALSE
329392,28,Yakima Valley College,2.58,FALSE
750115,1,Bates Technical College,0.13,TRUE
750115,20,Seattle Central College,0.7,FALSE
750115,4,Centralia College,1.01,FALSE
750115,28,Yakima Valley College,2.61,FALSE
615938,4,Centralia College,0.13,TRUE
615938,1,Bates Technical College,1.03,FALSE
615938,20,Seattle Central College,1.51,FALSE
615938,28,Yakima Valley College,2.97,FALSE
1099283,4,Centralia College,0.13,TRUE
1099283,1,Bates Technical College,1.03,FALSE
1099283,20,Seattle Central College,1.52,FALSE
1099283,28,Yakima Valley College,2.98,FALSE
259276,20,Seattle Central College,0.13,TRUE
259276,1,Bates Technical College,0.77,FALSE
259276,4,Centralia College,1.58,FALSE
259276,28,Yakima Valley College,2.38,FALSE
298034,20,Seattle Central College,0.13,TRUE
298034,1,Bates Technical College,0.77,FALSE
298034,4,Centralia College,1.58,FALSE
298034,28,Yakima Valley College,2.38,FALSE
306765,20,Seattle Central College,0.13,TRUE
306765,1,Bates Technical College,0.71,FALSE
306765,4,Centralia College,1.5,FALSE
306765,28,Yakima Valley College,2.38,FALSE
426000,20,Seattle Central College,0.13,TRUE
426000,1,Bates Technical College,0.71,FALSE
426000,4,Centralia College,1.5,FALSE
426000,28,Yakima Valley College,2.39,FALSE
643972,20,Seattle Central College,0.13,TRUE
643972,1,Bates Technical College,0.67,FALSE
643972,4,Centralia College,1.46,FALSE
643972,28,Yakima Valley College,2.34,FALSE
700755,20,Seattle Central College,0.13,TRUE
700755,1,Bates Technical College,0.67,FALSE
700755,4,Centralia College,1.46,FALSE
700755,28,Yakima Valley College,2.34,FALSE
993228,20,Seattle Central College,0.13,TRUE
993228,1,Bates Technical College,0.67,FALSE
993228,4,Centralia College,1.46,FALSE
993228,28,Yakima Valley College,2.34,FALSE
